x,alpha_deg_8
1.9949,-6.6885
2.1632,-6.2866
2.3644,-5.8801
2.605,-5.5214
2.8807,-5.2234
3.1608,-5.0082
3.4387,-4.793
3.7735,-4.5905
4.0821,-4.4274
4.3995,-4.286
4.7124,-4.1621
4.9948,-4.0471
5.2946,-3.9755
5.6448,-3.8688
5.9951,-3.7752
6.3365,-3.7165
6.7349,-3.653
7.0282,-3.5902
7.4879,-3.5439
7.825,-3.4852
8.2256,-3.4479
8.5956,-3.4107
8.9918,-3.3822
9.4187,-3.3622
9.7689,-3.3382
10.1454,-3.3185
10.5964,-3.3158
10.9926,-3.2959
11.391,-3.2891
11.75,-3.2869
11.9843,-3.2942
