x,alpha_deg_16
1.9962,-7.0806
2.2226,-6.647
2.5691,-6.1234
2.9843,-5.7023
3.3171,-5.4601
3.6501,-5.2934
3.983,-5.1679
4.4841,-5.007
5.0093,-4.8596
5.4864,-4.7606
5.9773,-4.689
6.4888,-4.6309
6.9796,-4.5662
7.4911,-4.515
7.982,-4.4776
8.4798,-4.4265
8.9878,-4.3891
9.4856,-4.3517
9.9867,-4.3212
10.4811,-4.2907
10.9754,-4.2876
11.4766,-4.2571
11.9709,-4.2472
