x,CL_vs_CD_M1p9_Saltzmann66
0.07749,0.03672
0.077519,0.00238
0.077904,0.09973
0.08618,0.15804
0.093546,0.18991
0.101374,0.21363
0.10888,0.24068
0.115784,0.26625
0.122098,0.29082
0.128292,0.31252
0.133159,0.33102
0.138757,0.34703
0.14271,0.35666
0.14863,0.38057
0.153897,0.39814
