x,CL_vs_alpha_deg_M1p9_Saltzmann66
0.762,0.00219
1.5599,0.0458
2.6025,0.09976
3.7928,0.15145
4.5744,0.19427
5.3736,0.22768
6.0587,0.25554
6.6297,0.27862
7.4938,0.31756
7.9668,0.33666
8.6354,0.36529
9.2065,0.38681
9.6143,0.40352
