x,CL_vs_alpha_deg_M2p6_Saltzmann66
0.6571,0.00483
1.3435,0.03171
3.3073,0.09186
3.8957,0.114
4.9424,0.15038
5.8564,0.19305
6.6086,0.21994
7.4584,0.25314
8.2413,0.29264
8.8606,0.32738
9.612,0.35899
