x,CL_vs_alpha_deg_M4p1_Saltzmann66
3.6627,-0.01631
4.5455,0.00028
5.4283,0.01688
7.5776,0.05762
9.4587,0.09533
10.8797,0.1285
12.4938,0.17372
14.337,0.21443
16.2948,0.25365
17.2548,0.27477
19.7538,0.35161
20.1411,0.38322
