x,CL_vs_alpha_deg_M5p5_Saltzmann66
0.8508,-0.01446
2.9171,0.02994
5.5,0.08955
8.9945,0.17354
13.5525,0.27153
15.9227,0.33999
18.9917,0.43717
21.8785,0.53874
