x,CL_vs_alpha_deg_M1p1_Saltzmann66
3.338,0.14346
4.381,0.2186
5.381,0.31067
6.334,0.37205
8.147,0.45565
9.214,0.55301
10.516,0.60169
11.758,0.6853
