x,CL_vs_CD_M3p7_Saltzmann66
0.050863,9e-05
0.051547,0.04905
0.06107,0.10242
0.07149,0.1454
0.087696,0.18688
0.107578,0.24318
0.132646,0.3039
0.157385,0.3498
0.19616,0.41195
0.244677,0.4711
0.280988,0.51546
0.321843,0.54348
0.358136,0.57597
