x,CL_vs_CD_M2p6_Saltzmann66
0.068463,0.00369
0.069046,0.03999
0.070926,0.08577
0.074476,0.11897
0.080973,0.15852
0.087481,0.19333
0.095633,0.22818
0.105765,0.26268
0.114791,0.28847
0.122567,0.31065
0.130625,0.32814
0.142743,0.35358
