x,CL_vs_CD_M1p7_Saltzmann66
0.09402,0.10282
0.09856,0.16342
0.12283,0.27317
0.13946,0.3357
0.1592,0.40334
0.18515,0.46944
0.20037,0.48992
0.21004,0.49853
0.21869,0.51552
0.22388,0.53243
0.22736,0.55772
