x,CL_vs_alpha_deg_M1p7_Saltzmann66
2.716,0.10962
3.226,0.13491
3.769,0.1686
6.417,0.28997
7.231,0.33883
8.657,0.41634
10.15,0.4905
11.372,0.5579
