x,CL_vs_CD_M4p1_Saltzmann66
0.045957,0.03512
0.05454,0.08274
0.062196,0.11845
0.072281,0.1497
0.088473,0.19435
0.103428,0.22411
0.118701,0.26429
0.132126,0.2881
0.149517,0.31786
0.173919,0.35357
0.189177,0.38185
0.266371,0.51577
0.302062,0.57083
