x,CL_vs_alpha_deg_M3p1_Saltzmann66
3.4177,0.06519
4.3063,0.10158
5.1621,0.13323
5.9853,0.157
7.006,0.18711
7.928,0.21405
8.9488,0.24416
9.8051,0.26322
10.2988,0.28063
10.6607,0.30117
11.1346,0.32895
