x,CL_vs_alpha_deg_M1p4_Saltzmann66
2.219,0.0971
3.38,0.16005
4.814,0.23662
6.077,0.31652
7.273,0.40826
9.22,0.52898
10.825,0.64114
14.784,0.79119
16.047,0.8474
