x,CL_vs_CD_M3p1_Saltzmann66
0.061856,0.06979
0.061881,0.04471
0.062867,0.10367
0.067794,0.13765
0.076116,0.16793
0.083141,0.19067
0.091339,0.21531
0.101362,0.24126
0.110474,0.26592
0.119845,0.29185
0.125314,0.30451
0.132863,0.32538
