x,CL_vs_CD_M1p1_Saltzmann66
0.12772,0.1393
0.13332,0.21314
0.13892,0.27356
0.14868,0.32895
0.16157,0.3944
0.17376,0.44475
0.18594,0.4951
0.19534,0.53035
0.20682,0.5572
0.22317,0.59077
0.23709,0.6344
0.25345,0.68811
