x,CL_vs_alpha_deg_M2p4_Saltzmann66
0.5203,0.00198
1.3204,0.03224
2.0388,0.06169
2.7564,0.09823
3.4744,0.13004
4.3556,0.16901
5.3348,0.21274
6.2484,0.25566
7.0318,0.29065
7.8486,0.31777
8.3712,0.33768
8.9762,0.3529
9.4161,0.37987
9.8395,0.40683
