x,CL_vs_alpha_deg_M3p3_Saltzmann66
1.4554,-0.03771
2.2404,-0.0189
3.0398,-0.00306
4.0688,0.01394
4.9459,0.03392
5.7317,0.05567
6.5644,0.08038
7.5501,0.10566
8.4728,0.12503
9.2098,0.13675
10.2665,0.1443
10.7594,0.15723
11.3767,0.17723
12.2982,0.19248
12.9453,0.21012
13.7778,0.23423
14.5016,0.25245
15.1501,0.27482
15.6562,0.28066
16.3297,0.28471
16.8052,0.29056
17.0555,0.30943
