x,CL_vs_alpha_deg_M3p7_Saltzmann66
0.9625,-0.05184
1.3452,-0.03983
1.8426,-0.02781
2.4167,-0.00979
3.2199,0.00377
4.023,0.01583
4.5202,0.02337
5.2853,0.03991
5.9739,0.05345
6.7772,0.07
7.9249,0.09407
8.3081,0.11655
8.9971,0.13907
10.2977,0.16614
11.4454,0.19021
12.0192,0.20225
12.7079,0.21878
13.4347,0.23382
15.1942,0.26544
16.1504,0.28201
16.9538,0.29856
17.7193,0.32408
18.8292,0.35711
19.5946,0.38113
20.9328,0.39326
21.2029,0.44713
