x,CL_vs_CD_M2p9_Saltzmann66
0.063395,0.02305
0.065176,0.05942
0.06955,0.10334
0.075236,0.13853
0.084815,0.18254
0.094403,0.21904
0.102438,0.248
0.113336,0.27576
0.1232,0.29723
