x,CL_vs_CD_M1p4_Saltzmann66
0.09784,0.10535
0.10722,0.16121
0.11974,0.23232
0.13572,0.32037
0.14994,0.37805
0.16589,0.43576
0.1742,0.45452
0.19915,0.52932
0.22478,0.59572
0.24175,0.64166
