x,CL_vs_CD_M3p3_Saltzmann66
0.055647,-0.00162
0.056658,0.02664
0.059605,0.05493
0.065463,0.08912
0.071314,0.1186
0.076435,0.14573
0.081301,0.16343
0.088854,0.19881
0.096868,0.21889
0.106322,0.23192
0.115296,0.24729
0.123554,0.26855
0.131336,0.29569
0.141027,0.30519
0.147091,0.31583
0.152678,0.33119
0.16431,0.34423
0.177413,0.37024
0.186641,0.39386
0.205025,0.39282
0.21232,0.41761
0.217158,0.41765
0.223475,0.43536
