x,CL_vs_CD_M2p4_Saltzmann66
0.070145,0.02893
0.070178,0.00842
0.072386,0.06525
0.076724,0.10884
0.081785,0.14743
0.088627,0.18539
0.097112,0.22337
0.106075,0.25377
0.116405,0.28674
0.125244,0.30955
0.134608,0.33402
0.144102,0.35871
0.152224,0.37938
0.160156,0.39554
0.164215,0.40255
