# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (mm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
1.637,26.894,29.338,13.474,30.358,16.675,4.313,0,4.313,0.003,7.801,9.824,28.61,-80.6,9.792,2.672,0,-6.611,-0.001,337.116,14.079,0.001,0,201.025,144.619,1.64,0.091,562667.139,8.923,0.413,0.748,0.763,0.255,0.372,0.121,0.547,0.897,-0,0,0,0,0,-0,0.004,34.4,9.294,69.096,0.003,1.863,14.825,1010.096,340.283,0.004,0.043
1.641,27.024,29.398,13.471,30.426,16.673,4.347,0,4.347,0.003,7.845,9.825,28.61,-80.6,9.792,2.639,0,-2.624,-0.001,337.084,14.048,0.001,0,201.053,144.609,1.641,0.091,563975.682,8.923,0.415,0.748,0.763,0.255,0.372,0.121,0.54,0.886,0,0,0,0,0,-0,0.004,34.4,9.294,69.076,0.003,1.869,14.824,1010.081,340.282,0.004,0.044
1.646,27.155,29.458,13.473,30.496,16.668,4.382,0,4.382,0.003,7.888,9.813,28.61,-80.6,9.792,2.589,0,1.35,-0.002,337.052,14.016,0.001,0,201.096,144.599,1.642,0.091,565293.77,8.923,0.417,0.748,0.762,0.255,0.372,0.121,0.529,0.87,0,0,0,0,0,0,0.004,34.4,9.294,69.073,0.003,1.876,14.823,1010.065,340.282,0.004,0.044
1.65,27.288,29.519,13.481,30.566,16.659,4.418,0,4.418,0.003,7.933,9.788,28.61,-80.6,9.792,2.521,0,5.31,-0.002,337.02,13.983,0.001,0,201.154,144.589,1.644,0.091,566631.11,8.923,0.418,0.748,0.761,0.255,0.372,0.121,0.515,0.846,0,0,0,0,0,0,0.004,34.4,9.294,69.088,0.003,1.882,14.823,1010.05,340.281,0.005,0.044
1.655,27.424,29.581,13.493,30.638,16.648,4.455,0,4.455,0.003,7.978,9.751,28.61,-80.6,9.792,2.441,0,9.259,-0.003,336.987,13.95,0.001,0,201.223,144.578,1.647,0.092,567971.828,8.923,0.42,0.748,0.761,0.255,0.372,0.121,0.498,0.82,-0,0,0,0,0,0,0.004,34.4,9.294,69.122,0.003,1.884,14.822,1010.034,340.281,0.005,0.044
1.66,27.565,29.645,13.512,30.712,16.633,4.493,0,4.493,0.003,8.024,9.7,28.61,-80.6,9.792,2.341,0,13.191,-0,336.952,13.916,0.001,0,201.309,144.568,1.649,0.092,569349.609,8.924,0.422,0.748,0.76,0.255,0.372,0.121,0.477,0.786,-0,0,0,0,0,0,0.004,34.4,9.294,69.175,0.002,1.886,14.821,1010.017,340.28,0.005,0.044
1.664,27.71,29.711,13.536,30.788,16.615,4.532,0,4.532,0.003,8.071,9.634,28.61,-80.6,9.792,2.219,0,17.097,-0,336.917,13.881,0.001,0,201.415,144.557,1.653,0.092,570779.669,8.924,0.423,0.748,0.759,0.255,0.373,0.121,0.451,0.745,0,0,0,0,0,0.001,0.004,34.4,9.294,69.25,0.002,1.888,14.82,1010,340.28,0.005,0.045
1.67,27.864,29.781,13.568,30.869,16.592,4.574,0,4.574,0.003,8.121,9.549,28.61,-80.6,9.792,2.072,0,20.98,-0,336.88,13.844,0.001,0,201.543,144.545,1.657,0.092,572281.885,8.924,0.425,0.748,0.758,0.255,0.373,0.121,0.42,0.695,-0,0,0,0,0,0.001,0.004,34.4,9.294,69.348,0.002,1.89,14.819,1009.982,340.279,0.005,0.045
1.675,28.028,29.856,13.608,30.955,16.563,4.619,0,4.619,0.003,8.173,9.443,28.61,-80.6,9.792,1.895,-0,24.822,-0.003,336.84,13.804,0.001,0,201.698,144.533,1.662,0.093,573883.601,8.924,0.426,0.748,0.756,0.255,0.373,0.121,0.383,0.635,-0,0,0,0,0,0.002,0.004,34.4,9.294,69.474,0.002,1.893,14.818,1009.963,340.278,0.006,0.045
1.681,28.207,29.938,13.658,31.048,16.529,4.668,0,4.668,0.003,8.229,9.31,28.61,-80.6,9.792,1.681,-0,28.613,-0.003,336.797,13.761,0.001,0,201.886,144.519,1.668,0.093,575626.514,8.924,0.428,0.748,0.755,0.255,0.373,0.121,0.339,0.562,0,0,0,0,0,0.002,0.004,34.4,9.294,69.634,0.003,1.895,14.817,1009.942,340.278,0.006,0.045
1.688,28.408,30.03,13.72,31.153,16.487,4.723,0,4.723,0.003,8.291,9.143,28.61,-80.6,9.792,1.418,-0,32.318,-0.004,336.749,13.713,0.001,0,202.119,144.504,1.675,0.093,577581.445,8.924,0.43,0.749,0.753,0.255,0.373,0.121,0.285,0.474,0,0,0,0,0,0.003,0.004,34.4,9.294,69.839,0.003,1.898,14.815,1009.918,340.277,0.007,0.045
1.696,28.646,30.138,13.799,31.277,16.434,4.789,0,4.789,0.003,8.363,8.926,28.61,-80.6,9.792,1.084,-0,35.86,-0.006,336.692,13.656,0.001,0,202.419,144.486,1.684,0.094,579885.557,8.924,0.432,0.749,0.751,0.255,0.373,0.121,0.217,0.361,-0,0,0,0,0,0.003,0.004,34.4,9.294,70.109,0.003,1.902,14.814,1009.89,340.276,0.008,0.046
1.706,28.957,30.281,13.907,31.439,16.36,4.876,0,4.876,0.003,8.453,8.616,28.61,-80.6,9.792,0.618,0,39.006,-0.005,336.618,13.582,0.001,0,202.842,144.463,1.697,0.094,582891.794,8.925,0.436,0.749,0.75,0.255,0.373,0.121,0.123,0.204,-0,0,0,0,0,0.004,0.004,34.4,9.294,70.496,0.003,1.907,14.812,1009.854,340.275,0.01,0.046
1.721,29.426,30.497,14.049,31.681,16.225,5.007,0,5.007,0.003,8.582,8.117,28.61,-80.6,9.792,0.105,-0,-40.348,-0.038,336.508,13.472,0.001,0,203.317,144.429,1.712,0.095,587403.431,8.918,0.442,0.749,0.749,0.255,0.373,0.121,0.021,0.04,0,0,0,0,0,-0.004,0.004,34.4,9.294,71.114,0.003,1.917,14.809,1009.799,340.273,0.015,0.046
1.745,30.136,30.822,14.158,32.043,15.96,5.208,0,5.208,0.003,8.76,7.367,28.61,-80.6,9.792,1.111,0,-34.715,-0.008,336.344,13.307,0.001,0,202.396,144.377,1.687,0.096,594119.923,8.882,0.454,0.749,0.752,0.255,0.373,0.121,0.222,0.378,0,0,0,0,0,-0.003,0.004,34.4,9.294,72,0.003,1.931,14.804,1009.716,340.27,0.023,0.046
1.754,30.419,30.951,14.139,32.185,15.81,5.289,0,5.289,0.003,8.826,7.074,28.61,-80.6,9.792,1.467,0,-30.098,-0.003,336.279,13.242,0.001,0,202.078,144.356,1.678,0.096,596747.669,8.85,0.46,0.749,0.754,0.255,0.373,0.121,0.295,0.497,0,0,0,0,0,-0.002,0.004,34.4,9.294,72.298,0.003,1.934,14.802,1009.682,340.269,0.009,0.046
1.761,30.637,31.05,14.136,32.294,15.727,5.351,0,5.351,0.003,8.875,6.893,28.61,-80.6,9.792,1.687,0,-25.78,-0.003,336.229,13.192,0.001,0,201.884,144.341,1.673,0.097,598727.777,8.834,0.464,0.749,0.755,0.255,0.373,0.121,0.34,0.571,-0,0,0,0,0,-0.002,0.004,34.4,9.294,72.495,0.003,1.933,14.801,1009.657,340.268,0.007,0.047
1.767,30.826,31.136,14.13,32.388,15.662,5.405,0,5.405,0.003,8.917,6.756,28.61,-80.6,9.792,1.849,-0,-21.572,0,336.186,13.149,0.001,0,201.741,144.327,1.669,0.097,600437.102,8.821,0.467,0.749,0.757,0.255,0.373,0.121,0.374,0.625,0,0,0,0,0,-0.001,0.004,34.4,9.294,72.639,0.003,1.932,14.8,1009.635,340.267,0.006,0.047
1.772,30.997,31.214,14.119,32.473,15.607,5.454,0,5.454,0.003,8.954,6.651,28.61,-80.6,9.792,1.971,-0,-17.423,-0,336.146,13.11,0.001,0,201.634,144.315,1.666,0.097,601984.037,8.81,0.47,0.749,0.758,0.255,0.374,0.121,0.399,0.666,0,0,0,0,0,-0.001,0.004,34.4,9.294,72.746,0.003,1.931,14.799,1009.615,340.267,0.006,0.047
1.777,31.158,31.287,14.105,32.552,15.56,5.5,0,5.5,0.003,8.988,6.57,28.61,-80.6,9.792,2.064,0,-13.318,-0,336.11,13.073,0.001,0,201.554,144.303,1.664,0.097,603423.245,8.799,0.473,0.749,0.759,0.255,0.374,0.121,0.419,0.697,0,0,0,0,0,-0,0.004,34.4,9.294,72.826,0.003,1.931,14.797,1009.596,340.266,0.005,0.047
1.782,31.311,31.355,14.087,32.627,15.518,5.544,0,5.544,0.003,9.02,6.508,28.61,-80.6,9.792,2.131,0,-9.238,-0.001,336.075,13.039,0.001,0,201.496,144.292,1.663,0.098,604788.969,8.79,0.475,0.749,0.759,0.255,0.374,0.121,0.433,0.72,0,0,0,0,0,-0,0.004,34.4,9.294,72.881,0.003,1.93,14.796,1009.578,340.266,0.005,0.047
1.787,31.46,31.422,14.066,32.699,15.48,5.587,0,5.587,0.003,9.05,6.464,28.61,-80.6,9.792,2.176,0,-5.178,-0.005,336.042,13.005,0.001,0,201.457,144.282,1.662,0.098,606102.589,8.78,0.478,0.749,0.76,0.255,0.374,0.121,0.442,0.735,0,0,0,0,0,-0,0.004,34.4,9.294,72.915,0.003,1.929,14.796,1009.56,340.265,0.005,0.048
1.792,31.604,31.486,14.042,32.769,15.446,5.629,0,5.629,0.003,9.08,6.436,28.61,-80.6,9.792,2.201,0,-1.142,-0.003,336.009,12.972,0.001,0,201.436,144.272,1.662,0.098,607379.797,8.771,0.48,0.75,0.76,0.255,0.374,0.121,0.447,0.743,0,0,0,0,0,-0,0.004,34.4,9.294,72.929,0.003,1.929,14.795,1009.543,340.264,0.005,0.048
1.796,31.747,31.55,14.014,32.838,15.416,5.67,0,5.67,0.003,9.109,6.423,28.61,-80.6,9.792,2.207,0,2.872,-0,335.977,12.94,0.001,0,201.43,144.261,1.662,0.098,608633.009,8.762,0.482,0.75,0.76,0.255,0.374,0.121,0.449,0.746,-0,0,0,0,0,0,0.004,34.4,9.294,72.925,0.003,1.928,14.794,1009.527,340.264,0.005,0.048
1.801,31.888,31.612,13.983,32.907,15.388,5.711,0,5.711,0.003,9.138,6.424,28.61,-80.6,9.792,2.197,0,6.874,-0.004,335.945,12.908,0.001,0,201.44,144.251,1.662,0.098,609879.952,8.753,0.484,0.75,0.76,0.255,0.374,0.121,0.446,0.742,-0,0,0,0,0,0,0.004,34.4,9.294,72.904,0.003,1.928,14.793,1009.51,340.263,0.004,0.048
1.805,32.03,31.675,13.948,32.975,15.362,5.752,0,5.752,0.003,9.167,6.436,28.61,-80.6,9.792,2.175,0,10.867,-0.003,335.913,12.877,0.001,0,201.459,144.241,1.663,0.099,611148.223,8.744,0.486,0.75,0.76,0.255,0.374,0.121,0.442,0.735,-0,0,0,0,0,0,0.004,34.4,9.294,72.864,0.003,1.933,14.792,1009.493,340.263,0.004,0.048
1.81,32.173,31.738,13.91,33.043,15.338,5.793,0,5.793,0.003,9.196,6.463,28.61,-80.6,9.792,2.135,0,14.841,-0.004,335.881,12.844,0.001,0,201.494,144.231,1.665,0.099,612421.62,8.735,0.488,0.75,0.759,0.255,0.374,0.121,0.433,0.721,0,0,0,0,0,0.001,0.004,34.4,9.294,72.806,0.003,1.937,14.791,1009.477,340.262,0.005,0.049
1.814,32.319,31.801,13.867,33.112,15.317,5.835,0,5.835,0.003,9.225,6.505,28.61,-80.6,9.792,2.076,0,18.794,-0.001,335.848,12.812,0.001,0,201.544,144.221,1.666,0.099,613710.437,8.727,0.489,0.75,0.759,0.255,0.374,0.121,0.421,0.701,-0,0,0,0,0,0.001,0.004,34.4,9.294,72.729,0.003,1.941,14.79,1009.46,340.262,0.005,0.049
1.819,32.468,31.866,13.82,33.183,15.299,5.879,0,5.879,0.003,9.256,6.563,28.61,-80.6,9.792,1.999,-0,22.729,-0.004,335.815,12.779,0.001,0,201.612,144.211,1.669,0.099,615027.717,8.717,0.491,0.75,0.758,0.255,0.374,0.121,0.405,0.674,-0,0,0,0,0,0.001,0.004,34.4,9.294,72.631,0.003,1.945,14.789,1009.442,340.261,0.005,0.049
1.824,32.623,31.933,13.766,33.256,15.283,5.924,0,5.924,0.003,9.288,6.638,28.61,-80.6,9.792,1.899,0,26.638,-0,335.781,12.744,0.001,0,201.699,144.2,1.671,0.099,616389.396,8.708,0.493,0.75,0.758,0.255,0.374,0.121,0.384,0.64,0,0,0,0,0,0.002,0.004,34.4,9.294,72.511,0.003,1.95,14.788,1009.424,340.26,0.005,0.049
1.829,32.785,32.003,13.693,33.333,15.256,5.971,0,5.971,0.003,9.322,6.728,28.61,-80.6,9.792,1.777,0,30.521,-0.001,335.745,12.709,0.001,0,201.807,144.189,1.675,0.1,617810.941,8.694,0.494,0.75,0.757,0.255,0.374,0.121,0.359,0.599,-0,0,0,0,0,0.002,0.004,34.4,9.294,72.366,0.003,1.955,14.787,1009.405,340.26,0.005,0.049
1.834,32.958,32.076,13.553,33.413,15.173,6.021,0,6.021,0.003,9.358,6.823,28.61,-80.6,9.792,1.626,-0,34.364,-0.001,335.709,12.673,0.001,0,201.94,144.177,1.679,0.1,619316.058,8.659,0.496,0.75,0.756,0.255,0.374,0.121,0.328,0.547,-0,0,0,0,0,0.003,0.004,34.4,9.294,72.191,0.003,1.96,14.786,1009.385,340.259,0.005,0.05
1.84,33.148,32.155,13.389,33.501,15.08,6.077,0,6.077,0.003,9.399,6.94,28.61,-80.6,9.792,1.441,0,38.151,-0.002,335.669,12.633,0.001,0,202.105,144.165,1.684,0.1,620942.067,8.619,0.498,0.75,0.755,0.255,0.374,0.121,0.289,0.484,0,0,0,0,0,0.003,0.004,34.4,9.294,71.977,0.003,1.965,14.785,1009.362,340.258,0.006,0.05
1.847,33.361,32.243,13.199,33.598,14.983,6.139,0,6.139,0.003,9.445,7.09,28.61,-80.6,9.792,1.21,0,41.838,0.004,335.624,12.588,0.001,0,202.311,144.15,1.691,0.101,622753.772,8.574,0.5,0.75,0.753,0.255,0.374,0.121,0.242,0.405,-0,0,0,0,0,0.004,0.004,34.4,9.294,71.712,0.003,1.971,14.783,1009.337,340.257,0.007,0.05
1.855,33.614,32.345,12.968,33.712,14.88,6.213,0,6.213,0.003,9.501,7.297,28.61,-80.6,9.792,0.891,-0,45.338,0.001,335.571,12.535,0.001,0,202.599,144.134,1.7,0.101,624807.552,8.523,0.503,0.75,0.752,0.255,0.374,0.121,0.177,0.297,-0,0,0,0,0,0.005,0.004,34.4,9.294,71.368,0.003,1.966,14.782,1009.308,340.256,0.008,0.05
1.865,33.96,32.481,12.651,33.864,14.763,6.315,0,6.315,0.003,9.58,7.608,28.61,-80.6,9.792,0.411,0,48.238,0.013,335.499,12.463,0.001,0,203.038,144.111,1.713,0.101,627487.779,8.457,0.506,0.75,0.751,0.255,0.374,0.121,0.081,0.134,-0,0,0,0,0,0.005,0.004,34.4,9.294,70.868,0.003,1.948,14.779,1009.267,340.255,0.011,0.05
1.881,34.481,32.677,12.17,34.088,14.611,6.469,0,6.469,0.003,9.705,8.086,28.61,-80.6,9.792,0.32,-0,-48.39,0.04,335.391,12.355,0.001,0,203.123,144.077,1.716,0.102,631425.224,8.362,0.512,0.75,0.751,0.255,0.374,0.121,0.063,0.114,0,0,0,0,0,-0.005,0.004,34.4,9.294,70.088,0.003,1.921,14.776,1009.206,340.253,0.016,0.051
1.905,35.268,32.956,11.457,34.412,14.386,6.704,0,6.704,0.003,9.906,8.701,28.61,-80.6,9.792,1.269,-0,-39.345,0.004,335.229,12.193,0.001,0,202.26,144.026,1.693,0.103,637189.248,8.22,0.524,0.751,0.754,0.255,0.375,0.121,0.254,0.435,0,0,0,0,0,-0.003,0.004,34.4,9.294,69.015,0.003,1.888,14.771,1009.114,340.25,0.024,0.051
1.912,35.494,33.031,11.065,34.502,14.124,6.772,0,6.772,0.003,9.965,8.777,28.61,-80.6,9.792,1.5,-0,-35.024,0.006,335.183,12.147,0.001,0,202.055,144.011,1.687,0.103,638848.473,8.111,0.528,0.751,0.756,0.255,0.375,0.121,0.302,0.512,-0,0,0,0,0,-0.003,0.004,34.4,9.294,68.76,0.003,1.887,14.769,1009.087,340.249,0.007,0.051
1.918,35.688,33.096,10.876,34.578,14.027,6.831,0,6.831,0.003,10.017,8.858,28.61,-80.6,9.792,1.651,-0,-30.807,0.007,335.144,12.108,0.001,0,201.921,143.999,1.684,0.103,640245.956,8.064,0.531,0.751,0.757,0.255,0.375,0.121,0.333,0.563,-0,0,0,0,0,-0.002,0.004,34.4,9.294,68.567,0.003,1.887,14.768,1009.064,340.248,0.006,0.051
1.923,35.864,33.152,10.598,34.646,13.82,6.885,0,6.885,0.003,10.064,8.869,28.61,-80.6,9.792,1.764,0,-26.661,0.008,335.112,12.075,0.001,0,201.822,143.989,1.681,0.104,641491.638,7.982,0.534,0.751,0.757,0.255,0.375,0.121,0.356,0.601,-0,0,0,0,0,-0.002,0.004,34.4,9.294,68.414,0.003,1.886,14.767,1009.044,340.248,0.005,0.051
1.928,36.029,33.203,10.29,34.708,13.566,6.935,0,6.935,0.003,10.107,8.84,28.61,-80.6,9.792,1.848,0,-22.552,0.004,335.082,12.045,0.001,0,201.748,143.979,1.679,0.104,642627.04,7.885,0.536,0.751,0.758,0.255,0.375,0.121,0.374,0.629,-0,0,0,0,0,-0.001,0.004,34.4,9.294,68.291,0.003,1.886,14.766,1009.024,340.247,0.005,0.052
1.933,36.186,33.251,10.006,34.765,13.324,6.982,0,6.982,0.003,10.149,8.798,28.61,-80.6,9.792,1.909,0,-18.478,0.004,335.053,12.017,0.001,0,201.695,143.97,1.678,0.104,643683.598,7.793,0.538,0.751,0.759,0.255,0.375,0.121,0.386,0.649,0,0,0,0,0,-0.001,0.005,34.4,9.294,68.194,0.003,1.885,14.765,1009.006,340.246,0.005,0.052
1.938,36.338,33.295,9.74,34.819,13.089,7.029,0,7.029,0.003,10.189,8.744,28.61,-80.6,9.792,1.949,0,-14.428,0.006,335.026,11.989,0.001,0,201.66,143.961,1.677,0.104,644680.388,7.705,0.54,0.751,0.759,0.255,0.375,0.121,0.395,0.663,-0,0,0,0,0,-0,0.005,34.4,9.294,68.119,0.003,1.885,14.764,1008.988,340.246,0.005,0.052
1.942,36.486,33.337,9.487,34.871,12.857,7.074,0,7.074,0.003,10.227,8.677,28.61,-80.6,9.792,1.969,0,-10.403,0.008,334.999,11.962,0.001,0,201.642,143.953,1.677,0.104,645633.081,7.62,0.542,0.751,0.759,0.255,0.375,0.121,0.399,0.669,0,0,0,0,0,-0,0.005,34.4,9.294,68.064,0.003,1.885,14.763,1008.971,340.245,0.004,0.052
1.946,36.633,33.378,9.246,34.921,12.626,7.119,0,7.119,0.003,10.265,8.598,28.61,-80.6,9.792,1.972,0,-6.394,0.006,334.972,11.936,0.001,0,201.64,143.944,1.677,0.104,646552.746,7.536,0.543,0.751,0.759,0.255,0.375,0.121,0.4,0.67,0,0,0,0,0,-0,0.005,34.4,9.294,68.027,0.003,1.884,14.762,1008.954,340.245,0.004,0.053
1.951,36.779,33.417,9.013,34.969,12.392,7.164,0,7.164,0.003,10.302,8.505,28.61,-80.6,9.792,1.953,0,-2.402,0.003,334.946,11.909,0.001,0,201.657,143.936,1.678,0.105,647465.941,7.453,0.545,0.751,0.759,0.255,0.375,0.121,0.396,0.664,-0,0,0,0,0,-0,0.005,34.4,9.294,68.008,0.003,1.886,14.761,1008.936,340.244,0.004,0.053
1.955,36.926,33.456,8.789,35.017,12.152,7.21,0,7.21,0.003,10.339,8.392,28.61,-80.6,9.792,1.899,0,1.552,0.005,334.919,11.883,0.001,0,201.704,143.928,1.68,0.105,648439.219,7.37,0.546,0.751,0.759,0.255,0.375,0.121,0.384,0.645,0,0,0,0,0,0,0.005,34.4,9.294,68.006,0.003,1.901,14.76,1008.919,340.243,0.004,0.053
1.96,37.077,33.495,8.567,35.065,11.903,7.256,0,7.256,0.003,10.376,8.264,28.61,-80.6,9.792,1.826,0,5.485,0.006,334.892,11.855,0.001,0,201.768,143.919,1.682,0.105,649416.541,7.286,0.548,0.751,0.758,0.255,0.375,0.121,0.369,0.621,-0,0,0,0,0,0,0.005,34.4,9.294,68.022,0.003,1.915,14.759,1008.902,340.243,0.005,0.053
1.964,37.233,33.534,8.344,35.114,11.642,7.305,0,7.305,0.003,10.414,8.119,28.61,-80.6,9.792,1.733,0,9.39,0.005,334.863,11.827,0.001,0,201.85,143.91,1.684,0.105,650407.736,7.199,0.549,0.751,0.758,0.255,0.375,0.121,0.35,0.589,-0,0,0,0,0,0,0.005,34.4,9.294,68.057,0.003,1.93,14.758,1008.883,340.242,0.005,0.053
1.969,37.398,33.573,8.117,35.163,11.364,7.356,0,7.356,0.003,10.454,7.953,28.61,-80.6,9.792,1.617,0,13.265,0.006,334.834,11.797,0.001,0,201.953,143.901,1.688,0.105,651425.751,7.108,0.55,0.751,0.757,0.255,0.375,0.121,0.326,0.549,0,0,0,0,0,0,0.005,34.4,9.294,68.113,0.003,1.946,14.757,1008.864,340.242,0.005,0.054
1.975,37.574,33.615,7.884,35.215,11.064,7.411,0,7.411,0.003,10.495,7.763,28.61,-80.6,9.792,1.473,0,17.091,0.01,334.802,11.766,0.001,0,202.081,143.89,1.692,0.105,652486.694,7.012,0.551,0.751,0.756,0.255,0.375,0.121,0.296,0.501,-0,0,0,0,0,0.001,0.005,34.4,9.294,68.192,0.003,1.963,14.756,1008.843,340.241,0.005,0.054
1.98,37.768,33.658,7.591,35.269,10.688,7.472,0,7.472,0.003,10.538,7.524,28.61,-80.6,9.792,1.295,0,20.861,0.004,334.782,11.746,0.001,0,202.239,143.884,1.696,0.106,653611.979,6.892,0.552,0.751,0.755,0.255,0.375,0.121,0.26,0.439,-0,0,0,0,0,0.001,0.005,34.4,9.294,68.302,0.003,1.981,14.755,1008.82,340.24,0.006,0.054
1.987,37.987,33.705,7.211,35.328,10.201,7.54,0,7.54,0.003,10.586,7.216,28.61,-80.6,9.792,1.071,0,24.531,0.011,334.761,11.725,0.001,0,202.441,143.878,1.702,0.106,654835.483,6.736,0.553,0.751,0.754,0.255,0.375,0.121,0.214,0.363,-0,0,0,0,0,0.001,0.005,34.4,9.294,68.45,0.004,2.002,14.753,1008.795,340.239,0.007,0.054
1.995,38.252,33.758,6.772,35.395,9.62,7.624,0,7.624,0.003,10.64,6.833,28.61,-80.6,9.792,0.775,0,27.983,0.011,334.736,11.699,0.001,0,202.709,143.869,1.71,0.106,656233.641,6.553,0.555,0.751,0.753,0.255,0.375,0.121,0.154,0.262,-0,0,0,0,0,0.002,0.005,34.4,9.294,68.657,0.004,2.028,14.751,1008.764,340.238,0.008,0.055
2.006,38.619,33.825,6.204,35.48,8.855,7.74,0,7.74,0.003,10.71,6.318,28.61,-80.6,9.792,0.372,0,30.853,0.02,334.701,11.664,0.001,0,203.079,143.858,1.722,0.106,657873.475,6.314,0.557,0.751,0.752,0.255,0.375,0.121,0.073,0.124,0,0,0,0,0,0.002,0.005,34.4,9.294,68.979,0.004,2.039,14.749,1008.721,340.237,0.011,0.055
2.022,39.171,33.912,5.375,35.591,7.744,7.915,0,7.915,0.003,10.804,5.576,28.61,-80.6,9.792,0.202,0,-31.43,0.026,334.648,11.611,0.001,0,203.237,143.842,1.727,0.107,659808.073,5.969,0.56,0.751,0.751,0.255,0.375,0.121,0.04,0.071,0,0,0,0,0,-0.002,0.005,34.4,9.294,69.493,0.004,2.02,14.745,1008.656,340.235,0.016,0.055
2.046,40,34.011,4.086,35.722,6.111,8.18,0,8.18,0.003,10.921,4.544,28.61,-80.6,9.792,0.961,-0,-24.115,0.022,334.569,11.532,0.001,0,202.541,143.817,1.707,0.107,662020.765,5.45,0.565,0.751,0.753,0.255,0.375,0.121,0.192,0.328,-0,0,0,0,0,-0.001,0.005,34.4,9.294,70.19,0.005,1.993,14.74,1008.559,340.231,0.024,0.055
2.055,40.282,34.035,2.962,35.754,4.955,8.271,0,8.271,0.003,10.954,3.972,28.61,-80.6,9.792,1.198,-0,-19.723,-0,334.542,11.506,0.001,0,202.328,143.808,1.701,0.107,662652.77,5.034,0.567,0.751,0.755,0.255,0.375,0.121,0.24,0.409,-0,0,0,0,0,-0.001,0.005,34.4,9.294,70.372,0.004,1.992,14.738,1008.526,340.23,0.008,0.055
2.061,40.513,34.051,2.451,35.778,4.426,8.345,0.001,8.345,0.003,10.98,3.685,28.61,-80.6,9.792,1.353,-0,-15.446,0.005,334.52,11.484,0.001,0,202.189,143.801,1.697,0.107,663101.052,4.842,0.569,0.751,0.755,0.255,0.375,0.121,0.271,0.462,0,0,0,0,0,-0,0.005,34.4,9.294,70.492,0.004,1.997,14.737,1008.499,340.229,0.007,0.056
2.067,40.717,34.063,2.011,35.795,3.999,8.411,0.001,8.411,0.003,11,3.456,28.61,-80.6,9.792,1.463,-0,-11.271,0.005,334.501,11.464,0.001,0,202.091,143.795,1.695,0.107,663456.644,4.679,0.57,0.751,0.756,0.255,0.375,0.121,0.294,0.499,0,0,0,0,0,-0,0.005,34.4,9.294,70.572,0.004,2.001,14.735,1008.475,340.229,0.006,0.056
2.073,40.906,34.072,1.61,35.809,3.64,8.472,0.001,8.472,0.003,11.019,3.264,28.61,-80.6,9.792,1.542,-0,-7.157,0.001,334.483,11.446,0.001,0,202.021,143.789,1.693,0.107,663741.141,4.532,0.571,0.751,0.757,0.255,0.375,0.121,0.31,0.526,0,0,0,0,0,-0,0.005,34.4,9.294,70.624,0.004,2.005,14.734,1008.452,340.228,0.006,0.056
2.078,41.086,34.079,1.23,35.821,3.333,8.53,0.001,8.53,0.003,11.035,3.098,28.61,-80.6,9.792,1.595,-0,-3.08,0.003,334.466,11.429,0.001,0,201.974,143.784,1.692,0.107,663971.71,4.394,0.572,0.751,0.757,0.255,0.375,0.121,0.321,0.544,-0,0,0,0,0,-0,0.005,34.4,9.294,70.651,0.004,2.008,14.733,1008.431,340.227,0.005,0.056
2.083,41.259,34.083,0.862,35.829,3.076,8.586,0.001,8.586,0.003,11.05,2.952,28.61,-80.6,9.792,1.625,-0,0.967,-0,334.449,11.413,0.001,0,201.948,143.779,1.691,0.107,664157.888,4.262,0.572,0.751,0.757,0.255,0.375,0.121,0.327,0.554,0,0,0,0,0,0,0.005,34.4,9.294,70.656,0.004,2.012,14.732,1008.411,340.226,0.005,0.056
2.088,41.429,34.085,0.501,35.836,2.867,8.642,0.001,8.642,0.003,11.064,2.823,28.61,-80.6,9.792,1.634,-0,4.98,0.004,334.433,11.397,0.001,0,201.939,143.773,1.691,0.107,664305.725,4.134,0.572,0.751,0.757,0.255,0.375,0.121,0.329,0.557,-0,0,0,0,0,0,0.005,34.4,9.294,70.641,0.004,2.015,14.731,1008.391,340.226,0.005,0.057
