# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (mm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.377,3.665,24.518,52.689,24.518,52.745,-0.005,0,0.005,179.997,0.006,2.429,28.61,-80.6,9.792,1.919,-0,42.56,-0.011,506.67,69.67,0.01,0,344.054,241.159,1.649,0.072,767876.603,32.178,0.499,0.435,0.44,0.186,0.128,0.121,0.312,0.497,0,0,0,0,0,0.017,0.003,62.4,30.582,87.13,0.004,2.06,14.976,1012.82,340.374,0.016,0.011
0.397,4.168,25.53,50.32,25.53,50.445,-0.005,0,0.005,179.993,0.053,3.557,28.61,-80.6,9.792,0.99,-0,45.674,-0.016,506.174,69.175,0.01,0,345.622,240.962,1.677,0.075,799484.052,31.017,0.537,0.436,0.437,0.186,0.129,0.121,0.158,0.247,0,0,0,0,0,0.018,0.003,62.4,30.582,86.242,0.005,2.067,14.973,1012.761,340.372,0.02,0.011
0.427,4.958,26.963,47.401,26.964,47.699,-0.002,0,0.002,179.952,0.184,5.325,28.61,-80.6,9.792,0.415,-0,-46.422,-0.039,505.444,68.445,0.01,0,346.628,240.672,1.698,0.079,844246.89,29.631,0.598,0.436,0.436,0.186,0.129,0.121,0.066,0.128,-0,0,0,0,0,-0.017,0.003,62.4,30.582,84.843,0.005,2.046,14.968,1012.668,340.369,0.03,0.011
0.472,6.223,28.998,44.797,29.002,45.469,0.013,0,0.013,0.016,0.48,7.784,28.61,-80.6,9.792,2.036,0,-37.445,-0.01,504.412,67.412,0.01,0,343.892,240.26,1.661,0.086,908264.898,28.51,0.701,0.436,0.442,0.186,0.129,0.121,0.332,0.56,0,0,0,0,0,-0.01,0.004,62.4,30.582,82.909,0.007,2.056,14.96,1012.52,340.364,0.045,0.012
0.484,6.582,29.531,43.461,29.537,44.25,0.019,0,0.019,0.014,0.579,8.32,28.61,-80.6,9.792,2.394,0,-32.949,-0.005,504.131,67.132,0.01,0,343.313,240.148,1.653,0.087,925217.339,27.895,0.73,0.437,0.444,0.186,0.129,0.121,0.393,0.656,0,0,0,0,0,-0.007,0.004,62.4,30.582,82.477,0.007,2.071,14.957,1012.478,340.363,0.012,0.012
0.495,6.89,29.976,42.893,29.984,43.767,0.026,0,0.026,0.013,0.667,8.705,28.61,-80.6,9.792,2.598,-0,-28.699,-0.001,503.894,66.895,0.01,0,342.988,240.054,1.65,0.088,939275.93,27.653,0.755,0.437,0.445,0.186,0.13,0.121,0.427,0.711,0,0,0,0,0,-0.005,0.004,62.4,30.582,82.158,0.007,2.085,14.955,1012.442,340.362,0.01,0.012
0.504,7.17,30.37,42.511,30.38,43.457,0.032,0,0.032,0.012,0.748,9.019,28.61,-80.6,9.792,2.758,0,-24.535,-0.003,503.691,66.692,0.01,0,342.734,239.972,1.647,0.09,951740.822,27.499,0.777,0.437,0.446,0.186,0.13,0.121,0.455,0.753,-0,0,0,0,0,-0.004,0.004,62.4,30.582,81.911,0.007,2.085,14.953,1012.409,340.361,0.009,0.012
0.512,7.43,30.731,42.297,30.742,43.305,0.039,0,0.039,0.011,0.826,9.29,28.61,-80.6,9.792,2.893,0,-20.375,-0.004,503.505,66.506,0.01,0,342.523,239.898,1.645,0.091,963096.949,27.425,0.797,0.437,0.447,0.186,0.13,0.121,0.479,0.79,0,0,0,0,0,-0.003,0.004,62.4,30.582,81.72,0.007,2.072,14.952,1012.379,340.36,0.009,0.013
0.52,7.674,31.064,42.107,31.078,43.163,0.046,0,0.046,0.011,0.901,9.493,28.61,-80.6,9.792,2.984,0,-16.258,-0.003,503.332,66.332,0.01,0,342.382,239.828,1.643,0.092,973633.945,27.357,0.816,0.437,0.448,0.186,0.13,0.121,0.494,0.814,0,0,0,0,0,-0.002,0.004,62.4,30.582,81.574,0.007,2.059,14.95,1012.35,340.359,0.008,0.013
0.528,7.909,31.38,41.935,31.395,43.028,0.053,0,0.053,0.011,0.973,9.639,28.61,-80.6,9.792,3.037,0,-12.181,-0.001,503.168,66.168,0.01,0,342.301,239.762,1.643,0.093,983581.228,27.293,0.834,0.437,0.448,0.186,0.13,0.121,0.504,0.829,0,0,0,0,0,-0.001,0.004,62.4,30.582,81.467,0.007,2.047,14.949,1012.322,340.358,0.008,0.013
0.535,8.137,31.682,41.778,31.699,42.897,0.06,0,0.06,0.01,1.043,9.735,28.61,-80.6,9.792,3.058,0,-8.121,-0.002,503.009,66.01,0.01,0,342.27,239.699,1.644,0.094,993126.811,27.232,0.85,0.437,0.448,0.186,0.13,0.121,0.507,0.834,0,0,0,0,0,-0,0.004,62.4,30.582,81.394,0.007,2.035,14.947,1012.296,340.357,0.007,0.013
0.542,8.361,31.975,41.634,31.994,42.768,0.068,0,0.068,0.01,1.111,9.784,28.61,-80.6,9.792,3.05,0,-4.083,-0.003,502.856,65.856,0.01,0,342.285,239.637,1.645,0.094,1002384.611,27.173,0.866,0.437,0.448,0.186,0.13,0.121,0.506,0.832,0,0,0,0,0,-0,0.004,62.4,30.582,81.351,0.007,2.023,14.946,1012.269,340.356,0.007,0.014
0.549,8.583,32.262,41.501,32.284,42.64,0.076,0,0.076,0.01,1.179,9.789,28.61,-80.6,9.792,3.014,0,-0.064,-0.005,502.704,65.705,0.01,0,342.344,239.576,1.647,0.095,1011461.161,27.115,0.882,0.437,0.448,0.186,0.13,0.121,0.5,0.823,0,0,0,0,0,-0,0.004,62.4,30.582,81.337,0.006,2.012,14.944,1012.243,340.355,0.007,0.014
0.556,8.806,32.547,41.377,32.571,42.511,0.084,0,0.084,0.01,1.246,9.754,28.61,-80.6,9.792,2.957,0,3.94,-0.004,502.554,65.555,0.01,0,342.437,239.516,1.649,0.096,1020437.953,27.057,0.897,0.437,0.448,0.186,0.13,0.121,0.49,0.808,-0,0,0,0,0,0,0.004,62.4,30.582,81.35,0.006,1.998,14.943,1012.217,340.354,0.007,0.014
0.563,9.031,32.83,41.262,32.857,42.381,0.093,0,0.093,0.01,1.313,9.675,28.61,-80.6,9.792,2.875,0,7.923,-0.006,502.404,65.404,0.01,0,342.57,239.455,1.652,0.097,1029387.905,27,0.912,0.437,0.447,0.186,0.13,0.121,0.475,0.785,0,0,0,0,0,0,0.004,62.4,30.582,81.391,0.006,1.984,14.941,1012.191,340.353,0.007,0.014
0.57,9.259,33.116,41.153,33.145,42.247,0.102,0,0.102,0.01,1.379,9.552,28.61,-80.6,9.792,2.765,0,11.882,-0.003,502.252,65.253,0.01,0,342.746,239.394,1.656,0.098,1038396.336,26.943,0.927,0.438,0.447,0.186,0.13,0.121,0.456,0.755,-0,0,0,0,0,0.001,0.004,62.4,30.582,81.46,0.006,1.97,14.94,1012.164,340.352,0.007,0.015
0.577,9.495,33.407,41.051,33.438,42.109,0.112,0,0.112,0.01,1.447,9.381,28.61,-80.6,9.792,2.628,0,15.825,-0.007,502.097,65.098,0.01,0,342.968,239.331,1.661,0.099,1047575.894,26.885,0.941,0.438,0.446,0.186,0.13,0.121,0.433,0.718,-0,0,0,0,0,0.001,0.004,62.4,30.582,81.558,0.005,1.955,14.938,1012.136,340.351,0.007,0.015
0.584,9.741,33.707,40.954,33.741,41.965,0.123,0,0.123,0.01,1.514,9.157,28.61,-80.6,9.792,2.461,0,19.733,-0.005,501.937,64.937,0.01,0,343.24,239.267,1.666,0.1,1057029.168,26.825,0.956,0.438,0.445,0.186,0.13,0.121,0.404,0.671,0,0,0,0,0,0.002,0.004,62.4,30.582,81.688,0.005,1.94,14.937,1012.108,340.351,0.007,0.015
0.592,10.002,34.021,40.86,34.058,41.813,0.135,0,0.135,0.009,1.584,8.874,28.61,-80.6,9.792,2.259,0,23.606,-0.004,501.769,64.769,0.01,0,343.571,239.199,1.673,0.1,1066926.001,26.763,0.972,0.438,0.444,0.186,0.13,0.121,0.37,0.615,-0,0,0,0,0,0.003,0.004,62.4,30.582,81.855,0.005,1.924,14.935,1012.077,340.35,0.008,0.015
0.6,10.282,34.356,40.777,34.396,41.658,0.148,0,0.148,0.009,1.655,8.521,28.61,-80.6,9.792,2.016,0,27.429,-0.01,501.59,64.59,0.01,0,343.97,239.127,1.68,0.101,1077470.185,26.702,0.989,0.438,0.443,0.186,0.13,0.121,0.328,0.548,-0,0,0,0,0,0.004,0.004,62.4,30.582,82.065,0.004,1.907,14.933,1012.044,340.348,0.008,0.016
0.609,10.595,34.725,40.802,34.768,41.593,0.164,0,0.164,0.009,1.73,8.073,28.61,-80.6,9.792,1.7,0,31.154,-0.008,501.395,64.395,0.01,0,344.496,239.048,1.69,0.103,1089113.76,26.689,1.007,0.438,0.442,0.186,0.13,0.121,0.275,0.461,0,0,0,0,0,0.005,0.004,62.4,30.582,82.33,0.004,1.901,14.931,1012.007,340.347,0.009,0.016
0.62,10.963,35.155,40.865,35.201,41.546,0.182,0,0.182,0.009,1.812,7.492,28.61,-80.6,9.792,1.303,0,34.728,-0.009,501.168,64.168,0.01,0,345.165,238.956,1.702,0.104,1102669.251,26.689,1.03,0.438,0.44,0.186,0.131,0.121,0.21,0.351,-0,0,0,0,0,0.006,0.005,62.4,30.582,82.678,0.003,1.895,14.929,1011.964,340.346,0.011,0.016
0.633,11.44,35.706,40.947,35.756,41.486,0.207,0,0.207,0.009,1.908,6.668,28.61,-80.6,9.792,0.767,0,37.941,-0.015,500.877,63.878,0.01,0,346.087,238.838,1.719,0.106,1120004.741,26.69,1.059,0.438,0.439,0.186,0.131,0.121,0.122,0.204,-0,0,0,0,0,0.006,0.005,62.4,30.582,83.169,0.002,1.886,14.926,1011.908,340.344,0.013,0.016
0.653,12.17,36.534,41.05,36.59,41.397,0.247,0,0.247,0.009,2.029,5.345,28.61,-80.6,9.792,0.046,-0,-39.55,-0.19,500.442,63.442,0.01,0,347.36,238.662,1.742,0.108,1145986.509,26.692,1.107,0.438,0.438,0.186,0.131,0.122,0.007,0.02,-0,0,0,0,0,-0.007,0.005,62.4,30.582,83.959,0.001,1.871,14.921,1011.823,340.341,0.02,0.017
0.684,13.296,37.779,41.133,37.841,41.274,0.311,0,0.311,0.008,2.16,3.414,28.61,-80.6,9.792,1.111,-0,-34.541,-0.001,499.789,62.789,0.01,0,345.517,238.396,1.717,0.112,1184825.006,26.694,1.189,0.439,0.44,0.186,0.131,0.122,0.178,0.311,-0,0,0,0,0,-0.005,0.005,62.4,30.582,85.103,-0.001,1.833,14.914,1011.691,340.337,0.03,0.017
0.696,13.783,38.307,41.145,38.37,41.229,0.339,0,0.339,0.008,2.199,2.642,28.61,-80.6,9.792,1.498,0,-29.792,-0.006,499.512,62.513,0.01,0,344.867,238.284,1.708,0.113,1201208.741,26.695,1.226,0.439,0.442,0.186,0.131,0.122,0.242,0.417,-0,0,0,0,0,-0.003,0.005,62.4,30.582,85.516,-0.002,1.816,14.91,1011.633,340.335,0.013,0.017
0.706,14.148,38.697,41.142,38.76,41.198,0.36,0,0.36,0.008,2.221,2.157,28.61,-80.6,9.792,1.733,0,-25.434,-0.004,499.308,62.309,0.01,0,344.479,238.2,1.703,0.114,1213333.003,26.696,1.254,0.439,0.443,0.186,0.131,0.122,0.281,0.481,0,0,0,0,0,-0.002,0.005,62.4,30.582,85.778,-0.003,1.815,14.908,1011.591,340.333,0.009,0.017
0.714,14.461,39.028,41.133,39.092,41.173,0.378,0,0.378,0.008,2.237,1.798,28.61,-80.6,9.792,1.901,0,-21.184,-0.003,499.135,62.135,0.01,0,344.204,238.13,1.7,0.115,1223638.137,26.697,1.278,0.439,0.444,0.186,0.131,0.122,0.309,0.527,-0,0,0,0,0,-0.002,0.005,62.4,30.582,85.966,-0.004,1.82,14.906,1011.554,340.332,0.008,0.017
