# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (mm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,-0,-0.083,-8.265,0.083,8.265,0,0,0,0,0,0,28.61,-80.6,9.792,92.055,0,0,0,518.274,81.274,0.011,0,NaN,245.651,NaN,0.007,71956.709,0.792,-0,0.519,-0,0.279,0.12,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,62.4,30.582,90,0,2.303,15,1013.25,340.389,0.01,0.001
0.02,-0,-0.052,-5.21,0.052,5.21,0,0,0,0,0,0,28.61,-80.6,9.792,91.294,0,0,0,518.248,81.249,0.011,0,NaN,245.641,NaN,0.007,72044.623,2.375,-0,0.519,-0,0.279,0.12,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,62.4,30.582,90,0,2.307,15,1013.25,340.389,0.01,0.001
0.03,-0,-0.022,-2.154,0.022,2.154,0,0,0,0,0,0,28.61,-80.6,9.792,90.534,0,0,0,518.223,81.223,0.011,0,NaN,245.632,NaN,0.007,72145.224,3.958,-0,0.519,-0,0.279,0.12,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,62.4,30.582,90,0,2.311,15,1013.25,340.389,0.01,0.002
0.04,0,0.009,0.901,0.009,0.901,0,0,0,0,0,0,28.61,-80.6,9.792,89.777,0,0,0,518.197,81.198,0.011,0,NaN,245.622,NaN,0.007,72258.463,5.541,0,0.519,0,0.279,0.12,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,62.4,30.582,90,0,2.315,15,1013.25,340.389,0.01,0.002
0.05,0,0.062,5.318,0.062,5.318,0,0,0,0,0,0,28.61,-80.6,9.792,88.464,0,0,0,518.055,81.055,0.011,0,NaN,245.568,NaN,0.007,72399.761,7.828,0,0.519,0,0.279,0.12,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,62.4,30.582,90,0,2.318,15,1013.25,340.389,0.01,0.002
0.06,0.002,0.173,11.095,0.173,11.095,0,0,0,0,0,0,28.61,-80.6,9.792,85.715,0,0,0,517.912,80.912,0.011,0,NaN,245.514,NaN,0.007,72328.407,10.818,0,0.519,0.001,0.279,0.12,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,62.4,30.582,90,0,2.31,15,1013.25,340.389,0.01,0.002
0.07,0.004,0.342,16.875,0.342,16.875,0,0,0,0,0,0,28.61,-80.6,9.792,81.556,0,0,0,517.769,80.77,0.011,0,NaN,245.46,NaN,0.007,72666.527,13.807,0,0.519,0.004,0.278,0.12,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,62.4,30.582,90,0,2.302,15,1013.25,340.389,0.01,0.003
0.08,0.009,0.568,22.658,0.568,22.658,0,0,0,0,0,0,28.61,-80.6,9.792,76.088,0,0,0,517.626,80.627,0.011,0,NaN,245.406,NaN,0.007,73796.019,16.797,0,0.518,0.016,0.277,0.12,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,62.4,30.582,90,0,2.294,15,1013.249,340.389,0.01,0.003
0.09,0.016,0.853,28.443,0.853,28.443,0,0,0,0,0,0,28.61,-80.6,9.792,69.548,0,0,0,517.484,80.484,0.011,0,NaN,245.352,NaN,0.007,76186.15,19.787,0.001,0.515,0.047,0.275,0.12,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,62.4,30.582,90,0,2.287,15,1013.248,340.389,0.01,0.003
0.1,0.026,1.195,34.232,1.195,34.232,0,0,0,0,0,0,28.61,-80.6,9.792,62.326,0,0,0,517.341,80.342,0.011,0,NaN,245.297,NaN,0.008,80325.103,22.777,0.001,0.512,0.104,0.271,0.121,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,62.4,30.582,90,0,2.279,15,1013.247,340.389,0.01,0.003
0.11,0.04,1.595,40.022,1.595,40.022,0,0,0,0,0,0,28.61,-80.6,9.792,54.992,0,0,0,517.198,80.199,0.011,0,NaN,245.243,NaN,0.008,86804.74,25.766,0.003,0.506,0.186,0.266,0.121,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,62.4,30.582,90,0,2.277,15,1013.245,340.389,0.01,0.004
0.12,0.058,2.056,46.095,2.056,46.095,0,0,0,0,0,0,28.61,-80.6,9.792,47.912,0,0,0,516.945,79.945,0.011,0,NaN,245.147,NaN,0.009,95757.385,28.896,0.005,0.5,0.283,0.259,0.121,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,62.4,30.582,90,0,2.276,15,1013.243,340.389,0.01,0.004
0.13,0.082,2.603,54.695,2.603,54.695,0,0,0,0,0,0,28.61,-80.6,9.792,41.158,0,0,0,516.525,79.526,0.01,0,NaN,244.987,NaN,0.01,107919.697,33.318,0.009,0.492,0.382,0.251,0.121,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,62.4,30.582,90,0,2.275,14.999,1013.24,340.389,0.01,0.004
0.14,0.111,3.242,63.915,3.242,63.915,0,0,0,0,0,0,28.61,-80.6,9.792,35.049,0,0,0,516.106,79.106,0.01,0,NaN,244.827,NaN,0.012,123614.467,38.055,0.014,0.484,0.468,0.243,0.122,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,62.4,30.582,90,0,2.274,14.999,1013.237,340.388,0.01,0.005
0.15,0.147,3.973,73.147,3.973,73.147,0,0,0,0,0,0,28.61,-80.6,9.792,29.773,0,0,0,515.686,78.687,0.01,0,NaN,244.667,NaN,0.013,142886.108,42.791,0.021,0.476,0.53,0.234,0.122,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,62.4,30.582,90,0,2.273,14.999,1013.233,340.388,0.01,0.005
0.16,0.191,4.796,82.389,4.796,82.389,0,0,0,0,0,0,28.61,-80.6,9.792,25.365,0,0,0,515.266,78.267,0.01,0,NaN,244.506,NaN,0.016,165710.925,47.528,0.03,0.468,0.568,0.226,0.122,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,62.4,30.582,90,0,2.274,14.999,1013.228,340.388,0.01,0.005
0.17,0.243,5.712,91.642,5.712,91.642,0,0,0,0,0,0,28.61,-80.6,9.792,21.715,0,0,0,514.847,77.847,0.01,0,NaN,244.345,NaN,0.018,191957.29,52.264,0.041,0.461,0.585,0.218,0.123,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,62.4,30.582,90,0,2.275,14.998,1013.221,340.388,0.01,0.006
0.18,0.305,6.721,100.905,6.721,100.905,0,0,0,0,0,0,28.61,-80.6,9.792,18.708,0,0,0,514.427,77.428,0.01,0,NaN,244.184,NaN,0.021,221530.501,57.001,0.055,0.454,0.588,0.211,0.123,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,62.4,30.582,90,0,2.276,14.998,1013.214,340.388,0.01,0.006
0.19,0.378,7.823,110.177,7.823,110.177,0,0,0,0,0,0,28.61,-80.6,9.792,16.23,0,0,0,514.008,77.008,0.01,0,NaN,244.023,NaN,0.024,254346.749,61.738,0.072,0.448,0.581,0.204,0.124,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,62.4,30.582,90,0,2.277,14.998,1013.206,340.387,0.01,0.006
0.2,0.462,9.017,119.46,9.017,119.46,0,0,0,0,0,0,28.61,-80.6,9.792,14.18,0,0,0,513.588,76.588,0.01,0,NaN,243.861,NaN,0.027,290337.439,66.474,0.092,0.442,0.565,0.198,0.124,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,62.4,30.582,90,0,2.278,14.997,1013.196,340.387,0.01,0.006
0.21,0.559,10.304,128.754,10.304,128.754,0,0,0,0,0,0,28.61,-80.6,9.792,12.347,0,0,0,513.168,76.169,0.01,0,NaN,243.7,NaN,0.031,329289.161,71.211,0.113,0.437,0.544,0.193,0.124,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,62.4,30.582,90,0,2.256,14.996,1013.184,340.387,0.01,0.007
0.22,0.665,11.605,134.073,11.605,134.073,0,0,0,0,0,0,28.61,-80.6,9.792,10.895,0,0,0,512.712,75.713,0.01,0,NaN,243.523,NaN,0.035,368924.902,73.899,0.137,0.433,0.524,0.188,0.125,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,62.4,30.582,90,0,2.234,14.996,1013.172,340.386,0.01,0.007
0.228,0.77,12.708,128.115,12.708,128.115,0,0,0,0,0,0,28.61,-80.6,9.792,9.883,0,0,0,512.287,75.288,0.01,0,NaN,243.359,NaN,0.038,402698.916,70.808,0.16,0.432,0.512,0.186,0.125,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,62.4,30.582,90,0,2.214,14.995,1013.16,340.386,0.009,0.007
0.236,0.874,13.668,122.049,13.668,122.049,0,0,0,0,0,0,28.61,-80.6,9.792,9.129,0,0,0,511.899,74.9,0.01,0,NaN,243.209,NaN,0.041,432149.432,67.67,0.181,0.432,0.504,0.186,0.126,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,62.4,30.582,90,0,2.196,14.994,1013.148,340.385,0.008,0.008
0.244,0.977,14.519,116.453,14.519,116.453,0,0,0,0,0,0,28.61,-80.6,9.792,8.537,0,0,0,511.539,74.539,0.01,0,NaN,243.069,NaN,0.043,458332.4,64.78,0.201,0.432,0.498,0.186,0.126,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,62.4,30.582,90,0,2.18,14.994,1013.135,340.385,0.007,0.008
0.25,1.079,15.285,111.212,15.285,111.212,0,0,0,0,0,0,28.61,-80.6,9.792,8.061,0,0,0,511.199,74.2,0.01,0,NaN,242.937,NaN,0.045,481910.281,62.077,0.22,0.433,0.492,0.186,0.126,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,62.4,30.582,90,0,2.165,14.993,1013.123,340.385,0.007,0.008
0.261,1.243,16.37,104.861,16.37,104.869,-0,0,0,-180,0.013,1.295,28.61,-80.6,9.792,7.462,0,3.537,-0.001,510.69,73.691,0.01,0,335.816,242.738,1.492,0.048,515330.552,58.8,0.248,0.433,0.486,0.186,0.126,0.12,1.33,1.983,0,0,0,0,0,0,0.002,62.4,30.582,89.982,0.001,2.162,14.992,1013.104,340.384,0.01,0.008
0.272,1.435,17.469,96.842,17.469,96.85,-0,0,0,-180,0.028,1.231,28.61,-80.6,9.792,6.877,0,7.642,-0,510.131,73.132,0.01,0,336.601,242.52,1.508,0.052,549339.231,54.675,0.278,0.433,0.48,0.186,0.127,0.12,1.214,1.83,0,0,0,0,0,0.001,0.002,62.4,30.582,89.919,0.002,2.16,14.991,1013.082,340.383,0.011,0.009
0.283,1.629,18.426,88.632,18.426,88.639,-0.001,0,0.001,180,0.04,1.093,28.61,-80.6,9.792,6.368,0,11.71,-0.001,509.599,72.599,0.01,0,337.301,242.312,1.522,0.054,578957.175,50.461,0.306,0.434,0.475,0.186,0.127,0.12,1.115,1.696,0,0,0,0,0,0.002,0.002,62.4,30.582,89.814,0.003,2.157,14.989,1013.059,340.382,0.011,0.009
0.293,1.826,19.278,81.487,19.278,81.492,-0.001,0,0.001,180,0.051,0.896,28.61,-80.6,9.792,5.899,0,15.741,-0,509.194,72.195,0.01,0,337.958,242.153,1.535,0.057,605346.737,46.806,0.331,0.434,0.47,0.186,0.127,0.12,1.025,1.57,-0,0,0,0,0,0.004,0.002,62.4,30.582,89.671,0.003,2.155,14.988,1013.036,340.382,0.01,0.009
0.304,2.029,20.07,76.711,20.07,76.713,-0.002,0,0.002,180,0.059,0.631,28.61,-80.6,9.792,5.423,0,19.745,-0.002,508.842,71.843,0.01,0,338.637,242.015,1.548,0.059,629847.965,44.366,0.355,0.434,0.465,0.186,0.127,0.12,0.935,1.443,-0,0,0,0,0,0.006,0.003,62.4,30.582,89.488,0.003,2.146,14.987,1013.012,340.381,0.01,0.009
0.314,2.241,20.817,72.094,20.817,72.094,-0.002,0,0.002,180,0.064,0.303,28.61,-80.6,9.792,4.915,-0,23.695,-0.001,508.488,71.489,0.01,0,339.377,241.876,1.563,0.061,652946.728,42.01,0.377,0.434,0.461,0.186,0.128,0.12,0.841,1.306,0,0,0,0,0,0.007,0.003,62.4,30.582,89.262,0.003,2.124,14.985,1012.987,340.38,0.01,0.01
0.325,2.466,21.534,67.401,21.534,67.401,-0.003,0,0.003,179.999,0.066,0.074,28.61,-80.6,9.792,4.393,-0,27.611,-0.002,508.125,71.126,0.01,0,340.152,241.734,1.577,0.064,675132.43,39.618,0.4,0.434,0.456,0.186,0.128,0.121,0.745,1.165,-0,0,0,0,0,0.009,0.003,62.4,30.582,88.989,0.003,2.103,14.984,1012.961,340.379,0.011,0.01
0.336,2.71,22.234,62.901,22.234,62.903,-0.004,0,0.004,179.999,0.063,0.51,28.61,-80.6,9.792,3.843,-0,31.478,-0.003,507.787,70.788,0.01,0,340.987,241.6,1.593,0.066,696827.424,37.33,0.422,0.435,0.452,0.186,0.128,0.121,0.646,1.016,0,0,0,0,0,0.011,0.003,62.4,30.582,88.66,0.003,2.08,14.982,1012.932,340.378,0.011,0.01
0.348,2.98,22.948,59.666,22.948,59.675,-0.004,0,0.004,179.999,0.054,1.049,28.61,-80.6,9.792,3.244,0,35.275,-0.004,507.452,70.453,0.01,0,341.916,241.468,1.61,0.068,718958.064,35.691,0.444,0.435,0.447,0.186,0.128,0.121,0.539,0.855,0,0,0,0,0,0.014,0.003,62.4,30.582,88.261,0.003,2.055,14.981,1012.901,340.377,0.012,0.01
0.361,3.291,23.699,56.28,23.699,56.305,-0.005,0,0.005,179.998,0.037,1.671,28.61,-80.6,9.792,2.631,0,38.996,-0.006,507.079,70.079,0.01,0,342.892,241.321,1.628,0.07,742350.595,33.981,0.47,0.435,0.443,0.186,0.128,0.121,0.433,0.689,0,0,0,0,0,0.016,0.003,62.4,30.582,87.765,0.004,2.054,14.979,1012.864,340.376,0.013,0.011
